valid_name,region,subgroup,group
Aegiochus uschakovi,Chile,Arthropoda,Invertebrate
Aegisthus aculeatus,Chile,Arthropoda,Invertebrate
Aegisthus mucronatus,Chile,Arthropoda,Invertebrate
Aetideopsis minor,Chile,Arthropoda,Invertebrate
Aetideopsis multiserrata,Chile,Arthropoda,Invertebrate
Aetideus armatus,Chile,Arthropoda,Invertebrate
Agetus flaccus,Chile,Arthropoda,Invertebrate
Agetus typicus,Chile,Arthropoda,Invertebrate
Alacia alata,Chile,Arthropoda,Invertebrate
Allorostrata ovalis,Chile,Arthropoda,Invertebrate
Allorostrata scutifrons,Chile,Arthropoda,Invertebrate
Amallothrix parafalcifer,Chile,Arthropoda,Invertebrate
Amallothrix polaris,Chile,Arthropoda,Invertebrate
Amallothrix pseudopropinqua,Chile,Arthropoda,Invertebrate
Amallothrix robusta,Chile,Arthropoda,Invertebrate
Amallothrix valida,Chile,Arthropoda,Invertebrate
Amaryllis macrophthalma,Chile,Arthropoda,Invertebrate
Amblyopsoides obtusa,Chile,Arthropoda,Invertebrate
Ammothea dorsiplicata,Chile,Arthropoda,Invertebrate
Ammothea insularis,Chile,Arthropoda,Invertebrate
Ammothea stylirostris,Chile,Arthropoda,Invertebrate
Ampelisca composita,Chile,Arthropoda,Invertebrate
Ampelisca dentifera,Chile,Arthropoda,Invertebrate
Ampelisca gracilicauda,Chile,Arthropoda,Invertebrate
Amphiascoides subdebilis,Chile,Arthropoda,Invertebrate
Amphilochus marionis,Chile,Arthropoda,Invertebrate
Anarthron chilensis,Chile,Arthropoda,Invertebrate
Anarthron dithrix,Chile,Arthropoda,Invertebrate
Anarthron pholion,Chile,Arthropoda,Invertebrate
Anchistrocheles angulata,Chile,Arthropoda,Invertebrate
Anchistylis robusta,Chile,Arthropoda,Invertebrate
Ancorabolus ilvae,Chile,Arthropoda,Invertebrate
Andaniotes linearis,Chile,Arthropoda,Invertebrate
Anoplodactylus californicus,Chile,Arthropoda,Invertebrate
Anoplodactylus vemae,Chile,Arthropoda,Invertebrate
Anthosoma crassum,Chile,Arthropoda,Invertebrate
Anuropus australis,Chile,Arthropoda,Invertebrate
Aora anomala,Chile,Arthropoda,Invertebrate
Aora typica,Chile,Arthropoda,Invertebrate
Apohyale hirtipalma,Chile,Arthropoda,Invertebrate
Archaeocuma peruanum,Chile,Arthropoda,Invertebrate
Archasterope bulla,Chile,Arthropoda,Invertebrate
Archasterope pentathrix,Chile,Arthropoda,Invertebrate
Arietellus mohri,Chile,Arthropoda,Invertebrate
Aristias antarcticus,Chile,Arthropoda,Invertebrate
Arthromysis magellanica,Chile,Arthropoda,Invertebrate
Asconiscus simplex,Chile,Arthropoda,Invertebrate
Atyloella magellanica,Chile,Arthropoda,Invertebrate
Atylus villosus,Chile,Arthropoda,Invertebrate
Austrodecus calcaricauda,Chile,Arthropoda,Invertebrate
Austrodecus curtipes,Chile,Arthropoda,Invertebrate
Austrodecus pushkini,Chile,Arthropoda,Invertebrate
Austromegabalanus psittacus,Chile,Arthropoda,Invertebrate
Austropandalus grayi,Chile,Arthropoda,Invertebrate
Austroregia huxleyana,Chile,Arthropoda,Invertebrate
Austroregia regis,Chile,Arthropoda,Invertebrate
Austrosignum latifrons,Chile,Arthropoda,Invertebrate
Bairdoppilata hirsuta,Chile,Arthropoda,Invertebrate
Balanus flosculoidus,Chile,Arthropoda,Invertebrate
Balanus laevis,Chile,Arthropoda,Invertebrate
Batheuchaeta enormis,Chile,Arthropoda,Invertebrate
Bathycalanus bradyi,Chile,Arthropoda,Invertebrate
Bathycalanus richardi,Chile,Arthropoda,Invertebrate
Bathycalanus unicornis,Chile,Arthropoda,Invertebrate
Bathycuma longicaudatum,Chile,Arthropoda,Invertebrate
Bathycuma vemae,Chile,Arthropoda,Invertebrate
Bathyhalacarus humboldti,Chile,Arthropoda,Invertebrate
Bathyleberis grossmani,Chile,Arthropoda,Invertebrate
Bathyporeiapus magellanicus,Chile,Arthropoda,Invertebrate
Betaeus truncatus,Chile,Arthropoda,Invertebrate
Bircenna fulva,Chile,Arthropoda,Invertebrate
Boreomysis rostrata,Chile,Arthropoda,Invertebrate
Brachiella thynni,Chile,Arthropoda,Invertebrate
Bradycalanus enormis,Chile,Arthropoda,Invertebrate
Bradycalanus typicus,Chile,Arthropoda,Invertebrate
Breviconia australis,Chile,Arthropoda,Invertebrate
Brucerolis bromleyana,Chile,Arthropoda,Invertebrate
Bythocaris nana,Chile,Arthropoda,Invertebrate
Bythopussella aculeata,Chile,Arthropoda,Invertebrate
Calanoides acutus,Chile,Arthropoda,Invertebrate
Calanoides patagoniensis,Chile,Arthropoda,Invertebrate
Calanus chilensis,Chile,Arthropoda,Invertebrate
Calanus propinquus,Chile,Arthropoda,Invertebrate
Calanus simillimus,Chile,Arthropoda,Invertebrate
Calcinus nitidus,Chile,Arthropoda,Invertebrate
Caligus teres,Chile,Arthropoda,Invertebrate
Callipallene margarita,Chile,Arthropoda,Invertebrate
Calocalanus styliremis,Chile,Arthropoda,Invertebrate
Calocarides quinqueseriatus,Chile,Arthropoda,Invertebrate
Campylaspis antarctica,Chile,Arthropoda,Invertebrate
Campylaspis frigida,Chile,Arthropoda,Invertebrate
Campylaspis quadriplicata,Chile,Arthropoda,Invertebrate
Cancer porteri,Chile,Arthropoda,Invertebrate
Candacia bipinnata,Chile,Arthropoda,Invertebrate
Candacia catula,Chile,Arthropoda,Invertebrate
Candacia ethiopica,Chile,Arthropoda,Invertebrate
Candacia longimana,Chile,Arthropoda,Invertebrate
Caprella equilibra,Chile,Arthropoda,Invertebrate
Caprella penantis,Chile,Arthropoda,Invertebrate
Caprella scaura,Chile,Arthropoda,Invertebrate
Caprella ungulina,Chile,Arthropoda,Invertebrate
Caprellinoides mayeri,Chile,Arthropoda,Invertebrate
Caprellinoides tristanensis,Chile,Arthropoda,Invertebrate
Centropages brachiatus,Chile,Arthropoda,Invertebrate
Centropages typicus,Chile,Arthropoda,Invertebrate
Cephalophoxoides kergueleni,Chile,Arthropoda,Invertebrate
Ceratothoa gaudichaudii,Chile,Arthropoda,Invertebrate
Cervimunida johni,Chile,Arthropoda,Invertebrate
Chaceon affinis,Chile,Arthropoda,Invertebrate
Chalaraspidum alatum,Chile,Arthropoda,Invertebrate
Cheirimedon falcata,Chile,Arthropoda,Invertebrate
Chiridius gracilis,Chile,Arthropoda,Invertebrate
Chiridius poppei,Chile,Arthropoda,Invertebrate
Chono angustiarum,Chile,Arthropoda,Invertebrate
Chosroes incisus,Chile,Arthropoda,Invertebrate
Chuneola paradoxa,Chile,Arthropoda,Invertebrate
Cilunculus cactoides,Chile,Arthropoda,Invertebrate
Clausocalanus arcuicornis,Chile,Arthropoda,Invertebrate
Clausocalanus furcatus,Chile,Arthropoda,Invertebrate
Clausocalanus jobei,Chile,Arthropoda,Invertebrate
Cletodes latirostris,Chile,Arthropoda,Invertebrate
Colomastix fissilingua,Chile,Arthropoda,Invertebrate
Colossendeis angusta,Chile,Arthropoda,Invertebrate
Colossendeis colossea,Chile,Arthropoda,Invertebrate
Colossendeis macerrima,Chile,Arthropoda,Invertebrate
Colossendeis media,Chile,Arthropoda,Invertebrate
Conchoderma virgatum,Chile,Arthropoda,Invertebrate
Conchoecetta acuminata,Chile,Arthropoda,Invertebrate
Conchoecetta giesbrechti,Chile,Arthropoda,Invertebrate
Conchoecia parvidentata,Chile,Arthropoda,Invertebrate
Conchoecilla chuni,Chile,Arthropoda,Invertebrate
Conchoecilla daphnoides,Chile,Arthropoda,Invertebrate
Conchoecissa imbricata,Chile,Arthropoda,Invertebrate
Conchoecissa symmetrica,Chile,Arthropoda,Invertebrate
Copidognathus bruuni,Chile,Arthropoda,Invertebrate
Copidognathus posticus,Chile,Arthropoda,Invertebrate
Cornucalanus chelifer,Chile,Arthropoda,Invertebrate
Corycaeus speciosus,Chile,Arthropoda,Invertebrate
Crassicorophium bonellii,Chile,Arthropoda,Invertebrate
Cristaserolis convexa,Chile,Arthropoda,Invertebrate
Cryptobopyrus elongatus,Chile,Arthropoda,Invertebrate
Cryptocisus laevis,Chile,Arthropoda,Invertebrate
Cryptocopoides arcticus,Chile,Arthropoda,Invertebrate
Cryptocotitus acus,Chile,Arthropoda,Invertebrate
Cryptonus truncatus,Chile,Arthropoda,Invertebrate
Cryptopontius tanacredii,Chile,Arthropoda,Invertebrate
Ctenocalanus citer,Chile,Arthropoda,Invertebrate
Ctenocalanus vanus,Chile,Arthropoda,Invertebrate
Curidia magellanica,Chile,Arthropoda,Invertebrate
Cyamus catodontis,Chile,Arthropoda,Invertebrate
Cyclaspis longicaudata,Chile,Arthropoda,Invertebrate
Cymodocella foveolata,Chile,Arthropoda,Invertebrate
Cyphocaris richardi,Chile,Arthropoda,Invertebrate
Cystisoma fabricii,Chile,Arthropoda,Invertebrate
Dendropsyllus magellanicus,Chile,Arthropoda,Invertebrate
Deutella incerta,Chile,Arthropoda,Invertebrate
Deutella vemae,Chile,Arthropoda,Invertebrate
Diastylis planifrons,Chile,Arthropoda,Invertebrate
Dimorphognathia heroae,Chile,Arthropoda,Invertebrate
Dinemoura latifolia,Chile,Arthropoda,Invertebrate
Dinemoura producta,Chile,Arthropoda,Invertebrate
Dioithona oculata,Chile,Arthropoda,Invertebrate
Diplophryxus gargantua,Chile,Arthropoda,Invertebrate
Discoconchoecia elegans,Chile,Arthropoda,Invertebrate
Ditrichocorycaeus amazonicus,Chile,Arthropoda,Invertebrate
Dodecas elongata,Chile,Arthropoda,Invertebrate
Dodecasella elegans,Chile,Arthropoda,Invertebrate
Doloria pectinata,Chile,Arthropoda,Invertebrate
Doloria septenaria,Chile,Arthropoda,Invertebrate
Drepanopus forcipatus,Chile,Arthropoda,Invertebrate
Dromedopycnon acanthus,Chile,Arthropoda,Invertebrate
Drummondia luce,Chile,Arthropoda,Invertebrate
Dynamenella acuticauda,Chile,Arthropoda,Invertebrate
Echthrogaleus coleoptratus,Chile,Arthropoda,Invertebrate
Edotia tuberculata,Chile,Arthropoda,Invertebrate
Elenacalanus eltaninae,Chile,Arthropoda,Invertebrate
Elenacalanus princeps,Chile,Arthropoda,Invertebrate
Elthusa vulgaris,Chile,Arthropoda,Invertebrate
Emerita analoga,Chile,Arthropoda,Invertebrate
Enhydrosoma hopkinsi,Chile,Arthropoda,Invertebrate
Enhydrosoma littorale,Chile,Arthropoda,Invertebrate
Erikus dahli,Chile,Arthropoda,Invertebrate
Eualus dozei,Chile,Arthropoda,Invertebrate
Euaugaptilus bullifer,Chile,Arthropoda,Invertebrate
Euaugaptilus grandicornis,Chile,Arthropoda,Invertebrate
Euaugaptilus hecticus,Chile,Arthropoda,Invertebrate
Euaugaptilus laticeps,Chile,Arthropoda,Invertebrate
Euaugaptilus magnus,Chile,Arthropoda,Invertebrate
Euaugaptilus nodifrons,Chile,Arthropoda,Invertebrate
Euaugaptilus perasetosus,Chile,Arthropoda,Invertebrate
Eucalanus hyalinus,Chile,Arthropoda,Invertebrate
Eucalanus inermis,Chile,Arthropoda,Invertebrate
Euchaeta magniloba,Chile,Arthropoda,Invertebrate
Euchaeta marina,Chile,Arthropoda,Invertebrate
Euchaeta media,Chile,Arthropoda,Invertebrate
Euchaeta spinosa,Chile,Arthropoda,Invertebrate
Euchaetomera tenuis,Chile,Arthropoda,Invertebrate
Euchaetomera zurstrasseni,Chile,Arthropoda,Invertebrate
Euchirella amoena,Chile,Arthropoda,Invertebrate
Euchirella formosa,Chile,Arthropoda,Invertebrate
Euchirella maxima,Chile,Arthropoda,Invertebrate
Euchirella pulchra,Chile,Arthropoda,Invertebrate
Euchirella similis,Chile,Arthropoda,Invertebrate
Euchirella truncata,Chile,Arthropoda,Invertebrate
Eucopia grimaldii,Chile,Arthropoda,Invertebrate
Eucopia unguiculata,Chile,Arthropoda,Invertebrate
Eudactylina tuberifera,Chile,Arthropoda,Invertebrate
Eudevenopus gracilipes,Chile,Arthropoda,Invertebrate
Eudorella gracilior,Chile,Arthropoda,Invertebrate
Eudorella sordida,Chile,Arthropoda,Invertebrate
Euphausia diomedeae,Chile,Arthropoda,Invertebrate
Euphausia frigida,Chile,Arthropoda,Invertebrate
Euphausia gibba,Chile,Arthropoda,Invertebrate
Euphausia gibboides,Chile,Arthropoda,Invertebrate
Euphausia lucens,Chile,Arthropoda,Invertebrate
Euphausia mucronata,Chile,Arthropoda,Invertebrate
Euphausia mutica,Chile,Arthropoda,Invertebrate
Euphausia recurva,Chile,Arthropoda,Invertebrate
Euphausia similis,Chile,Arthropoda,Invertebrate
Euphausia spinifera,Chile,Arthropoda,Invertebrate
Euphausia triacantha,Chile,Arthropoda,Invertebrate
