valid_name,region,subgroup,group
Ophelia bipartita,Chile,Annelida,Invertebrates
Ophelina breviata,Chile,Annelida,Invertebrates
Ophelina delapidans,Chile,Annelida,Invertebrates
Ophryotrocha claparedei,Chile,Annelida,Invertebrates
Orbiniella branchiata,Chile,Annelida,Invertebrates
Palola siciliensis,Chile,Annelida,Invertebrates
Paracapitella pettiboneae,Chile,Annelida,Invertebrates
Paradiopatra ehlersi,Chile,Annelida,Invertebrates
Paraehlersia kawesqar,Chile,Annelida,Invertebrates
Paramphinome australis,Chile,Annelida,Invertebrates
Paraninoe antarctica,Chile,Annelida,Invertebrates
Paraprionospio pinnata,Chile,Annelida,Invertebrates
Paratyposyllis paurocirrata,Chile,Annelida,Invertebrates
Pareurythoe chilensis,Chile,Annelida,Invertebrates
Parexogone parahebes,Chile,Annelida,Invertebrates
Pelagobia longicirrata,Chile,Annelida,Invertebrates
Perinereis gualpensis,Chile,Annelida,Invertebrates
Petta assimilis,Chile,Annelida,Invertebrates
Pholoe polymorpha,Chile,Annelida,Invertebrates
Phragmatopoma virgini,Chile,Annelida,Invertebrates
Phyllochaetopterus monroi,Chile,Annelida,Invertebrates
Phyllodoce basalis,Chile,Annelida,Invertebrates
Phyllodoce truncata,Chile,Annelida,Invertebrates
Pilargis rozbaczyloi,Chile,Annelida,Invertebrates
Pionosyllis kerguelensis,Chile,Annelida,Invertebrates
Pionosyllis longisetosa,Chile,Annelida,Invertebrates
Pista brevibranchiata,Chile,Annelida,Invertebrates
Pista breviuncinata,Chile,Annelida,Invertebrates
Pista cristata,Chile,Annelida,Invertebrates
Pista parapacifica,Chile,Annelida,Invertebrates
Platynereis magalhaensis,Chile,Annelida,Invertebrates
Podarmus ploa,Chile,Annelida,Invertebrates
Polycirrus hesslei,Chile,Annelida,Invertebrates
Polycirrus plumosus,Chile,Annelida,Invertebrates
Polydora hoplura,Chile,Annelida,Invertebrates
Polydora rickettsi,Chile,Annelida,Invertebrates
Polyeunoa laevis,Chile,Annelida,Invertebrates
Potamilla antarctica,Chile,Annelida,Invertebrates
Prionospio ehlersi,Chile,Annelida,Invertebrates
Prionospio patagonica,Chile,Annelida,Invertebrates
Prionospio peruana,Chile,Annelida,Invertebrates
Prionospio pygmaeus,Chile,Annelida,Invertebrates
Prionospio steenstrupi,Chile,Annelida,Invertebrates
Proscoloplos confusus,Chile,Annelida,Invertebrates
Prosphaerosyllis brandhorsti,Chile,Annelida,Invertebrates
Protoariciella heterosetosa,Chile,Annelida,Invertebrates
Protoariciella parauncinata,Chile,Annelida,Invertebrates
Protobonellia mitsukurii,Chile,Annelida,Invertebrates
Psamathe fusca,Chile,Annelida,Invertebrates
Pseudexogone backstromi,Chile,Annelida,Invertebrates
Pseudovermilia occidentalis,Chile,Annelida,Invertebrates
Rhynchonereella gracilis,Chile,Annelida,Invertebrates
Rhynchonereella petersii,Chile,Annelida,Invertebrates
Romanchella pustulata,Chile,Annelida,Invertebrates
Sagitella kowalewskii,Chile,Annelida,Invertebrates
Salmacina falklandica,Chile,Annelida,Invertebrates
Scalibregma inflatum,Chile,Annelida,Invertebrates
Scalibregmides chilensis,Chile,Annelida,Invertebrates
Scolelepis quinquedentata,Chile,Annelida,Invertebrates
Serpula narconensis,Chile,Annelida,Invertebrates
Shinkai robusta,Chile,Annelida,Invertebrates
Sigambra bassi,Chile,Annelida,Invertebrates
Sigambra tentaculata,Chile,Annelida,Invertebrates
Sphaerodoropsis parva,Chile,Annelida,Invertebrates
Sphaerosyllis dubiosa,Chile,Annelida,Invertebrates
Sphaerosyllis hirsuta,Chile,Annelida,Invertebrates
Spiophanes bombyx,Chile,Annelida,Invertebrates
Spiophanes duplex,Chile,Annelida,Invertebrates
Spiophanes kroyeri,Chile,Annelida,Invertebrates
Spirobranchus minutus,Chile,Annelida,Invertebrates
Spirobranchus triqueter,Chile,Annelida,Invertebrates
Sternaspis chilensis,Chile,Annelida,Invertebrates
Sternaspis scutata,Chile,Annelida,Invertebrates
Stibarobdella moorei,Chile,Annelida,Invertebrates
Syllis albae,Chile,Annelida,Invertebrates
Syllis anoculata,Chile,Annelida,Invertebrates
Syllis armillaris,Chile,Annelida,Invertebrates
Syllis hyalina,Chile,Annelida,Invertebrates
Syllis luteoides,Chile,Annelida,Invertebrates
Syllis magdalena,Chile,Annelida,Invertebrates
Syllis tamarae,Chile,Annelida,Invertebrates
Syllis tripantu,Chile,Annelida,Invertebrates
Syllis truncata,Chile,Annelida,Invertebrates
Terebella ehlersi,Chile,Annelida,Invertebrates
Terebellides bisetosa,Chile,Annelida,Invertebrates
Thelepus setosus,Chile,Annelida,Invertebrates
Thormora versicolor,Chile,Annelida,Invertebrates
Tomopteris nisseni,Chile,Annelida,Invertebrates
Tomopteris planktonis,Chile,Annelida,Invertebrates
Tomopteris septentrionalis,Chile,Annelida,Invertebrates
Trachelobdella lubrica,Chile,Annelida,Invertebrates
Travisia antarctica,Chile,Annelida,Invertebrates
Travisia kerguelensis,Chile,Annelida,Invertebrates
Travisia olens,Chile,Annelida,Invertebrates
Travisiopsis coniceps,Chile,Annelida,Invertebrates
Travisiopsis levinseni,Chile,Annelida,Invertebrates
Trichobranchus alatus,Chile,Annelida,Invertebrates
Trophoniella chilensis,Chile,Annelida,Invertebrates
Trypanosyllis kalkin,Chile,Annelida,Invertebrates
Trypanosyllis parazebra,Chile,Annelida,Invertebrates
Typhloscolex muelleri,Chile,Annelida,Invertebrates
Typosyllis valida,Chile,Annelida,Invertebrates
Vanadis formosa,Chile,Annelida,Invertebrates
Vanadis minuta,Chile,Annelida,Invertebrates
Acanthamunnopsis hystrix,Chile,Arthropoda,Invertebrates
Acantharctus delfini,Chile,Arthropoda,Invertebrates
Acanthocyclus albatrossis,Chile,Arthropoda,Invertebrates
Acanthocyclus gayi,Chile,Arthropoda,Invertebrates
Acanthocyclus hassleri,Chile,Arthropoda,Invertebrates
Acanthonotozomella barnardi,Chile,Arthropoda,Invertebrates
Acanthoserolis schythei,Chile,Arthropoda,Invertebrates
Achelia assimilis,Chile,Arthropoda,Invertebrates
Achelia parvula,Chile,Arthropoda,Invertebrates
Aega magnifica,Chile,Arthropoda,Invertebrates
Aega semicarinata,Chile,Arthropoda,Invertebrates
Aeginoides gaussi,Chile,Arthropoda,Invertebrates
Aegiochus uschakovi,Chile,Arthropoda,Invertebrates
Aegisthus aculeatus,Chile,Arthropoda,Invertebrates
Aegisthus mucronatus,Chile,Arthropoda,Invertebrates
Aetideopsis minor,Chile,Arthropoda,Invertebrates
Aetideopsis multiserrata,Chile,Arthropoda,Invertebrates
Aetideus armatus,Chile,Arthropoda,Invertebrates
Agetus flaccus,Chile,Arthropoda,Invertebrates
Agetus typicus,Chile,Arthropoda,Invertebrates
Alacia alata,Chile,Arthropoda,Invertebrates
Allorostrata ovalis,Chile,Arthropoda,Invertebrates
Allorostrata scutifrons,Chile,Arthropoda,Invertebrates
Amallothrix parafalcifer,Chile,Arthropoda,Invertebrates
Amallothrix polaris,Chile,Arthropoda,Invertebrates
Amallothrix pseudopropinqua,Chile,Arthropoda,Invertebrates
Amallothrix robusta,Chile,Arthropoda,Invertebrates
Amallothrix valida,Chile,Arthropoda,Invertebrates
Amaryllis macrophthalma,Chile,Arthropoda,Invertebrates
Amblyopsoides obtusa,Chile,Arthropoda,Invertebrates
Ammothea dorsiplicata,Chile,Arthropoda,Invertebrates
Ammothea insularis,Chile,Arthropoda,Invertebrates
Ammothea stylirostris,Chile,Arthropoda,Invertebrates
Ampelisca composita,Chile,Arthropoda,Invertebrates
Ampelisca dentifera,Chile,Arthropoda,Invertebrates
Ampelisca gracilicauda,Chile,Arthropoda,Invertebrates
Amphiascoides subdebilis,Chile,Arthropoda,Invertebrates
Amphilochus marionis,Chile,Arthropoda,Invertebrates
Anarthron chilensis,Chile,Arthropoda,Invertebrates
Anarthron dithrix,Chile,Arthropoda,Invertebrates
Anarthron pholion,Chile,Arthropoda,Invertebrates
Anchistrocheles angulata,Chile,Arthropoda,Invertebrates
Anchistylis robusta,Chile,Arthropoda,Invertebrates
Ancorabolus ilvae,Chile,Arthropoda,Invertebrates
Andaniotes linearis,Chile,Arthropoda,Invertebrates
Anoplodactylus californicus,Chile,Arthropoda,Invertebrates
Anoplodactylus vemae,Chile,Arthropoda,Invertebrates
Anthosoma crassum,Chile,Arthropoda,Invertebrates
Anuropus australis,Chile,Arthropoda,Invertebrates
Aora anomala,Chile,Arthropoda,Invertebrates
Aora typica,Chile,Arthropoda,Invertebrates
Apohyale hirtipalma,Chile,Arthropoda,Invertebrates
Archaeocuma peruanum,Chile,Arthropoda,Invertebrates
Archasterope bulla,Chile,Arthropoda,Invertebrates
Archasterope pentathrix,Chile,Arthropoda,Invertebrates
Arietellus mohri,Chile,Arthropoda,Invertebrates
Aristias antarcticus,Chile,Arthropoda,Invertebrates
Arthromysis magellanica,Chile,Arthropoda,Invertebrates
Asconiscus simplex,Chile,Arthropoda,Invertebrates
Atyloella magellanica,Chile,Arthropoda,Invertebrates
Atylus villosus,Chile,Arthropoda,Invertebrates
Austrodecus calcaricauda,Chile,Arthropoda,Invertebrates
Austrodecus curtipes,Chile,Arthropoda,Invertebrates
Austrodecus pushkini,Chile,Arthropoda,Invertebrates
Austromegabalanus psittacus,Chile,Arthropoda,Invertebrates
Austropandalus grayi,Chile,Arthropoda,Invertebrates
Austroregia huxleyana,Chile,Arthropoda,Invertebrates
Austroregia regis,Chile,Arthropoda,Invertebrates
Austrosignum latifrons,Chile,Arthropoda,Invertebrates
Bairdoppilata hirsuta,Chile,Arthropoda,Invertebrates
Balanus flosculoidus,Chile,Arthropoda,Invertebrates
Balanus laevis,Chile,Arthropoda,Invertebrates
Batheuchaeta enormis,Chile,Arthropoda,Invertebrates
Bathycalanus bradyi,Chile,Arthropoda,Invertebrates
Bathycalanus richardi,Chile,Arthropoda,Invertebrates
Bathycalanus unicornis,Chile,Arthropoda,Invertebrates
Bathycuma longicaudatum,Chile,Arthropoda,Invertebrates
Bathycuma vemae,Chile,Arthropoda,Invertebrates
Bathyhalacarus humboldti,Chile,Arthropoda,Invertebrates
Bathyleberis grossmani,Chile,Arthropoda,Invertebrates
Bathyporeiapus magellanicus,Chile,Arthropoda,Invertebrates
Betaeus truncatus,Chile,Arthropoda,Invertebrates
Bircenna fulva,Chile,Arthropoda,Invertebrates
Boreomysis rostrata,Chile,Arthropoda,Invertebrates
Brachiella thynni,Chile,Arthropoda,Invertebrates
Bradycalanus enormis,Chile,Arthropoda,Invertebrates
Bradycalanus typicus,Chile,Arthropoda,Invertebrates
Breviconia australis,Chile,Arthropoda,Invertebrates
Brucerolis bromleyana,Chile,Arthropoda,Invertebrates
Bythocaris nana,Chile,Arthropoda,Invertebrates
Bythopussella aculeata,Chile,Arthropoda,Invertebrates
Calanoides acutus,Chile,Arthropoda,Invertebrates
Calanoides patagoniensis,Chile,Arthropoda,Invertebrates
Calanus chilensis,Chile,Arthropoda,Invertebrates
Calanus propinquus,Chile,Arthropoda,Invertebrates
Calanus simillimus,Chile,Arthropoda,Invertebrates
Calcinus nitidus,Chile,Arthropoda,Invertebrates
Caligus teres,Chile,Arthropoda,Invertebrates
Callipallene margarita,Chile,Arthropoda,Invertebrates
Calocalanus styliremis,Chile,Arthropoda,Invertebrates
Calocarides quinqueseriatus,Chile,Arthropoda,Invertebrates
Campylaspis antarctica,Chile,Arthropoda,Invertebrates
Campylaspis frigida,Chile,Arthropoda,Invertebrates
Campylaspis quadriplicata,Chile,Arthropoda,Invertebrates
Cancer porteri,Chile,Arthropoda,Invertebrates
Candacia bipinnata,Chile,Arthropoda,Invertebrates
Candacia catula,Chile,Arthropoda,Invertebrates
Candacia ethiopica,Chile,Arthropoda,Invertebrates
Candacia longimana,Chile,Arthropoda,Invertebrates
Caprella equilibra,Chile,Arthropoda,Invertebrates
Caprella penantis,Chile,Arthropoda,Invertebrates
Caprella scaura,Chile,Arthropoda,Invertebrates
Caprella ungulina,Chile,Arthropoda,Invertebrates
Caprellinoides mayeri,Chile,Arthropoda,Invertebrates
Caprellinoides tristanensis,Chile,Arthropoda,Invertebrates
Centropages brachiatus,Chile,Arthropoda,Invertebrates
Centropages typicus,Chile,Arthropoda,Invertebrates
Cephalophoxoides kergueleni,Chile,Arthropoda,Invertebrates
Ceratothoa gaudichaudii,Chile,Arthropoda,Invertebrates
Cervimunida johni,Chile,Arthropoda,Invertebrates
Chaceon affinis,Chile,Arthropoda,Invertebrates
Chalaraspidum alatum,Chile,Arthropoda,Invertebrates
Cheirimedon falcata,Chile,Arthropoda,Invertebrates
Chiridius gracilis,Chile,Arthropoda,Invertebrates
Chiridius poppei,Chile,Arthropoda,Invertebrates
Chono angustiarum,Chile,Arthropoda,Invertebrates
Chosroes incisus,Chile,Arthropoda,Invertebrates
Chuneola paradoxa,Chile,Arthropoda,Invertebrates
Cilunculus cactoides,Chile,Arthropoda,Invertebrates
Clausocalanus arcuicornis,Chile,Arthropoda,Invertebrates
Clausocalanus furcatus,Chile,Arthropoda,Invertebrates
Clausocalanus jobei,Chile,Arthropoda,Invertebrates
Cletodes latirostris,Chile,Arthropoda,Invertebrates
Colomastix fissilingua,Chile,Arthropoda,Invertebrates
Colossendeis angusta,Chile,Arthropoda,Invertebrates
Colossendeis colossea,Chile,Arthropoda,Invertebrates
Colossendeis macerrima,Chile,Arthropoda,Invertebrates
Colossendeis media,Chile,Arthropoda,Invertebrates
Conchoderma virgatum,Chile,Arthropoda,Invertebrates
Conchoecetta acuminata,Chile,Arthropoda,Invertebrates
Conchoecetta giesbrechti,Chile,Arthropoda,Invertebrates
Conchoecia parvidentata,Chile,Arthropoda,Invertebrates
Conchoecilla chuni,Chile,Arthropoda,Invertebrates
Conchoecilla daphnoides,Chile,Arthropoda,Invertebrates
Conchoecissa imbricata,Chile,Arthropoda,Invertebrates
Conchoecissa symmetrica,Chile,Arthropoda,Invertebrates
Copidognathus bruuni,Chile,Arthropoda,Invertebrates
Copidognathus posticus,Chile,Arthropoda,Invertebrates
Cornucalanus chelifer,Chile,Arthropoda,Invertebrates
Corycaeus speciosus,Chile,Arthropoda,Invertebrates
Crassicorophium bonellii,Chile,Arthropoda,Invertebrates
Cristaserolis convexa,Chile,Arthropoda,Invertebrates
Cryptobopyrus elongatus,Chile,Arthropoda,Invertebrates
Cryptocisus laevis,Chile,Arthropoda,Invertebrates
Cryptocopoides arcticus,Chile,Arthropoda,Invertebrates
Cryptocotitus acus,Chile,Arthropoda,Invertebrates
Cryptonus truncatus,Chile,Arthropoda,Invertebrates
Cryptopontius tanacredii,Chile,Arthropoda,Invertebrates
Ctenocalanus citer,Chile,Arthropoda,Invertebrates
Ctenocalanus vanus,Chile,Arthropoda,Invertebrates
Curidia magellanica,Chile,Arthropoda,Invertebrates
Cyamus catodontis,Chile,Arthropoda,Invertebrates
Cyclaspis longicaudata,Chile,Arthropoda,Invertebrates
Cymodocella foveolata,Chile,Arthropoda,Invertebrates
Cyphocaris richardi,Chile,Arthropoda,Invertebrates
Cystisoma fabricii,Chile,Arthropoda,Invertebrates
Dendropsyllus magellanicus,Chile,Arthropoda,Invertebrates
Deutella incerta,Chile,Arthropoda,Invertebrates
Deutella vemae,Chile,Arthropoda,Invertebrates
Diastylis planifrons,Chile,Arthropoda,Invertebrates
Dimorphognathia heroae,Chile,Arthropoda,Invertebrates
Dinemoura latifolia,Chile,Arthropoda,Invertebrates
Dinemoura producta,Chile,Arthropoda,Invertebrates
Dioithona oculata,Chile,Arthropoda,Invertebrates
Diplophryxus gargantua,Chile,Arthropoda,Invertebrates
Discoconchoecia elegans,Chile,Arthropoda,Invertebrates
Ditrichocorycaeus amazonicus,Chile,Arthropoda,Invertebrates
Dodecas elongata,Chile,Arthropoda,Invertebrates
Dodecasella elegans,Chile,Arthropoda,Invertebrates
Doloria pectinata,Chile,Arthropoda,Invertebrates
Doloria septenaria,Chile,Arthropoda,Invertebrates
Drepanopus forcipatus,Chile,Arthropoda,Invertebrates
Dromedopycnon acanthus,Chile,Arthropoda,Invertebrates
Drummondia luce,Chile,Arthropoda,Invertebrates
Dynamenella acuticauda,Chile,Arthropoda,Invertebrates
Echthrogaleus coleoptratus,Chile,Arthropoda,Invertebrates
Edotia tuberculata,Chile,Arthropoda,Invertebrates
Elenacalanus eltaninae,Chile,Arthropoda,Invertebrates
Elenacalanus princeps,Chile,Arthropoda,Invertebrates
Elthusa vulgaris,Chile,Arthropoda,Invertebrates
Emerita analoga,Chile,Arthropoda,Invertebrates
Enhydrosoma hopkinsi,Chile,Arthropoda,Invertebrates
Enhydrosoma littorale,Chile,Arthropoda,Invertebrates
Erikus dahli,Chile,Arthropoda,Invertebrates
Eualus dozei,Chile,Arthropoda,Invertebrates
Euaugaptilus bullifer,Chile,Arthropoda,Invertebrates
Euaugaptilus grandicornis,Chile,Arthropoda,Invertebrates
Euaugaptilus hecticus,Chile,Arthropoda,Invertebrates
Euaugaptilus laticeps,Chile,Arthropoda,Invertebrates
Euaugaptilus magnus,Chile,Arthropoda,Invertebrates
Euaugaptilus nodifrons,Chile,Arthropoda,Invertebrates
Euaugaptilus perasetosus,Chile,Arthropoda,Invertebrates
Eucalanus hyalinus,Chile,Arthropoda,Invertebrates
Eucalanus inermis,Chile,Arthropoda,Invertebrates
Euchaeta magniloba,Chile,Arthropoda,Invertebrates
Euchaeta marina,Chile,Arthropoda,Invertebrates
Euchaeta media,Chile,Arthropoda,Invertebrates
Euchaeta spinosa,Chile,Arthropoda,Invertebrates
Euchaetomera tenuis,Chile,Arthropoda,Invertebrates
Euchaetomera zurstrasseni,Chile,Arthropoda,Invertebrates
Euchirella amoena,Chile,Arthropoda,Invertebrates
Euchirella formosa,Chile,Arthropoda,Invertebrates
Euchirella maxima,Chile,Arthropoda,Invertebrates
Euchirella pulchra,Chile,Arthropoda,Invertebrates
Euchirella similis,Chile,Arthropoda,Invertebrates
Euchirella truncata,Chile,Arthropoda,Invertebrates
Eucopia grimaldii,Chile,Arthropoda,Invertebrates
Eucopia unguiculata,Chile,Arthropoda,Invertebrates
Eudactylina tuberifera,Chile,Arthropoda,Invertebrates
Eudevenopus gracilipes,Chile,Arthropoda,Invertebrates
Eudorella gracilior,Chile,Arthropoda,Invertebrates
Eudorella sordida,Chile,Arthropoda,Invertebrates
Euphausia diomedeae,Chile,Arthropoda,Invertebrates
Euphausia frigida,Chile,Arthropoda,Invertebrates
Euphausia gibba,Chile,Arthropoda,Invertebrates
Euphausia gibboides,Chile,Arthropoda,Invertebrates
Euphausia lucens,Chile,Arthropoda,Invertebrates
Euphausia mucronata,Chile,Arthropoda,Invertebrates
Euphausia mutica,Chile,Arthropoda,Invertebrates
Euphausia recurva,Chile,Arthropoda,Invertebrates
Euphausia similis,Chile,Arthropoda,Invertebrates
Euphausia spinifera,Chile,Arthropoda,Invertebrates
Euphausia triacantha,Chile,Arthropoda,Invertebrates
