Ablennes hians
Gobionellus daguae
Gobionellus liolepis
Gobiosoma homochroma
Gobiosoma nudum
Gobiosoma paradoxum
Gobulus hancocki
Gonichthys cocco
Gordiichthys combibus
Gorgasia punctata
Guavina guavina
Guavina micropus
Guentheridia formosa
Gymneleotris seminuda
Gymnomuraena zebra
Gymnothorax angusticeps
Gymnothorax castaneus
Gymnothorax dovii
Gymnothorax elegans
Gymnothorax equatorialis
Gymnothorax flavimarginatus
Gymnothorax funebris
Gymnothorax panamensis
Gymnothorax phalarus
Gymnothorax pictus
Gymnothorax undulatus
Gymnothorax verrilli
Haemulon flaviguttatum
Haemulon maculicauda
Haemulon scudderii
Haemulon sexfasciatum
Haemulon steindachneri
Haemulopsis axillaris
Haemulopsis leuciscus
Haemulopsis nitidus
Halichoeres adustus
Halichoeres aestuaricola
Halichoeres chierchiae
Halichoeres discolor
Halichoeres dispilus
Halichoeres malpelo
Halichoeres melanotis
Halichoeres nicholsi
Halichoeres notospilus
Halosaurus radiatus
Haplophryne mollis
Harengula thrissina
Hemanthias peruanus
Hemanthias signifer
Hemicaranx leucurus
Hemicaranx zelotes
Hemilutjanus macrophthalmos
Hemiramphus saltator
Heteroconger digueti
Heteroconger klausewitzi
Heteropriacanthus cruentatus
Himantolophus azurlucens
Hippocampus ingens
Hippoglossina bollmani
Hippoglossina montemaris
Hippoglossina tetrophthalma
Hirundichthys marginatus
Hirundichthys rondeletii
Hirundichthys speculiger
Holacanthus passer
Holcomycteronus digittatus
Hoplopagrus guentherii
Hoplunnis pacifica
Hypoatherina harringtonensis
Hyporhamphus gilli
Hyporhamphus naos
Hyporhamphus rosae
Hyporhamphus snyderi
Hyporhamphus unifasciatus
Hyporthodus acanthistius
Hyporthodus niphobles
Hypsoblennius brevipinnis
Hypsoblennius caulopus
Hypsoblennius striatus
Ichthyapus selachops
Idiacanthus antrostomus
Ilisha fuerthii
Iniistius pavo
Isopisthus remifer
Istiompax indica
Istiophorus platypterus
Johnrandallia nigrirostris
Kajikia audax
Kali macrodon
Kathetostoma averruncus
Katsuwonus pelamis
Kuhlia mugil
Kyphosus analogus
Kyphosus elegans
Labrisomus dendriticus
Labrisomus multiporosus
Labrisomus pomaspilus
Laemonema goodebeanorum
Lagocephalus lagocephalus
Lampanyctus omostigma
Lamprogrammus niger
Larimus acclivis
Larimus argenteus
Larimus effulgens
Larimus pacificus
Lepidonectes bimaculatus
Lepidonectes clarkhubbsi
Lepophidium microlepis
Lepophidium negropinna
Lepophidium prorates
Letharchus rosenblatti
Leuroglossus stilbius
Lile stolifera
Linophryne quinqueramosa
Liopropoma fasciatum
Liopropoma longilepis
Lobotes pacificus
Lonchopisthus sinuscalifornicus
Lophiodes caulinaris
Lophiodes spilurus
Lophogobius cyprinoides
Luciogobius elongatus
Lutjanus apodus
Lutjanus aratus
Lutjanus argentiventris
Lutjanus colorado
Lutjanus guttatus
Lutjanus inermis
Lutjanus jordani
Lutjanus mahogoni
Lutjanus novemfasciatus
Lutjanus peru
Lutjanus viridis
Lycenchelys monstrosa
Lycengraulis poeyi
Lythrypnus dalli
Lythrypnus solanensis
Macrodon mordax
Makaira nigricans
Malacanthus brevirostris
Malacoctenus ebisui
Malacoctenus margaritae
Malacoctenus sudensis
Malacoctenus tetranemus
Malacoctenus zonifer
Malacosteus niger
Mccoskerichthys sandae
Megalops atlanticus
Melamphaes spinifer
Melanocetus johnsonii
Melanocetus niger
Melanorhinus cyanellus
Melichthys niger
Melichthys vidua
Membras gilberti
Menticirrhus elongatus
Menticirrhus nasus
Menticirrhus paitensis
Menticirrhus panamensis
Merluccius angustimanus
Merluccius gayi
Microdesmus dipus
Microdesmus knappi
Microdesmus retropinnis
Microdesmus suttkusi
Microgobius curtus
Microgobius cyclolepis
Microgobius emblematicus
Microgobius erectus
Microgobius miraflorensis
Microgobius tabogensis
Micropogonias altipinnis
Microspathodon bairdii
Microspathodon dorsalis
Monolene asaedai
Monolene maculipinna
Mugil cephalus
Mugil curema
Mugil setosus
Mulloidichthys dentatus
Mulloidichthys vanicolensis
Muraena argus
Muraena clepsydra
Muraena lentiginosa
Mycteroperca olfax
Mycteroperca xenarcha
Myctophum affine
Myctophum aurolaternatum
Myctophum nitidulum
Myrichthys aspetocheiros
Myrichthys tigrinus
Myripristis berndti
Myripristis gildi
Myripristis leiognathus
Myrophis punctatus
Myrophis vafer
Naucrates ductor
Nealotus tripes
Nebris occidentalis
Nematistius pectoralis
Neoconger vermiformis
Neoopisthopterus tropicus
Nezumia parini
Nicholsina denticulata
Nomeus gronovii
Notacanthus spinosus
Notarius armbrusteri
Notarius insculptus
Notarius kessleri
Notarius osculus
Notarius planiceps
Notarius troschelii
Novaculichthys taeniourus
Occidentarius platypogon
Odontognathus panamensis
Odontoscion xanthops
Ogcocephalus porrectus
Ogilbia sedorae
Oligoplites altus
Oligoplites refulgens
Oligoplites saurus
Oneirodes heteronema
Ophichthus apachus
Ophichthus frontalis
Ophichthus longipenis
Ophichthus melope
Ophichthus remiger
Ophichthus triserialis
Ophichthus zophochir
Ophidion fulvum
Ophioblennius steindachneri
Ophioscion imiceps
Ophioscion scierus
Ophioscion strabo
Ophioscion typicus
Ophioscion vermicularis
Opisthonema berlangai
Opisthonema bulleri
Opisthonema libertate
Opisthonema medirastre
Opisthopterus dovii
Opisthopterus equatorialis
Opistognathus fenmutis
Opistognathus panamaensis
Opistognathus punctatus
Opistognathus scops
Orthopristis chalceus
Ostracion meleagris
Otophidium indefatigabile
Oxycirrhites typus
Oxyporhamphus micropterus
Paraclinus mexicanus
Paraclinus monophthalmus
Paraclinus nigripinnis
Paraconger californiensis
Parahypsos piersoni
Paralabrax callaensis
Paralabrax humeralis
Paralichthys californicus
Paraliparis fimbriatus
Paralonchurus dumerilii
Paralonchurus goodei
Paralonchurus peruanus
Paralonchurus petersii
Paralonchurus rathbuni
Paranebris bauchotae
Paranthias colonus
Parapsettus panamensis
Pareques lanfeari
Pareques viola
Parexocoetus brachypterus
Parrella lucretiae
Peprilus medius
Peprilus snyderi
Perissias taeniopterus
Peristedion barbiger
Peristedion crustosum
Petrotyx hopkinsi
Phaenomonas pinnata
Photocorynus spiniceps
Phtheirichthys lineatus
Physiculus nematopus
Physiculus talarae
Pimelodus blochii
Pisodonophis daspilotus
Plagiotremus azaleus
Platybelone argalus
Platygillellus bussingi
Pliosteostoma lutipinnis
Poeciliopsis elongata
Poeciliopsis turrubarensis
Polydactylus approximans
Polydactylus opercularis
Pomacanthus zonipectus
Pomadasys bayanus
Pomadasys branickii
Pomadasys macracanthus
Pomadasys panamensis
Pomadasys schyrii
Pontinus clemensi
Pontinus furcirhinus
Pontinus nematophthalmus
Pontinus sierra
Porichthys greenei
Porichthys margaritatus
Porichthys oculellus
Porichthys plectrodon
Poromitra crassiceps
Poromitra megalops
Prionotus albirostris
Prionotus birostratus
Prionotus horrens
Prionotus ruscarius
Prionotus stephanophrys
Prionotus teaguei
Prionurus laticlavius
Prionurus punctatus
Pristigenys serrula
Prochilodus reticulatus
Prognathodes carlhubbsi
Prognichthys sealei
Prognichthys tringa
Pronotogrammus eos
Pronotogrammus multifasciatus
Protemblemaria bicirrus
Psenes cyanophrys
Psenes pellucidus
Psenes sio
Pseudobalistes naufragium
Pseudogramma thaumasia
Pseudomyrophis micropinna
Pseudupeneus grandisquamis
Pseudupeneus maculatus
Pythonichthys asodes
Ranzania laevis
Remora albescens
Remora australis
Remora brachyptera
Remora osteochir
Remora remora
Rhynchoconger nitens
Rypticus bicolor
Rypticus nigripinnis
Rypticus saponaceus
Salvelinus alpinus
Sarda orientalis
Sardinops sagax
Sargocentron suborbitale
Scarus compressus
Scarus ghobban
Scarus perrico
Scarus rubroviolaceus
Schedophilus haedrichi
Sciades dowii
Scomber japonicus
Scomberomorus sierra
Scopelengys tristis
Scopelogadus mizolepis
Scorpaena afuerae
Scorpaena calcarata
Scorpaena histrio
Scorpaena mystes
Scorpaena russula
Scorpaena sonorae
Scorpaenodes xyris
Searsia koefoedi
Sectator ocyurus
Selar crumenophthalmus
Selene brevoortii
Selene orstedii
Selene peruviana
Selene vomer
Seriola lalandi
Seriola peruana
Seriola rivoliana
Seriolella violacea
Serranus aequidens
Serranus huascarii
Serranus psittacinus
Serranus tico
Serrivomer sector
Sicydium hildebrandi
Sicydium salvini
Sphoeroides annulatus
Sphoeroides kendalli
Sphoeroides lobatus
Sphoeroides rosenblatti
Sphoeroides sechurae
Sphoeroides trichocephalus
Sphyraena ensis
Sphyraena guachancho
Sphyraena idiastes
Sphyraena lucasana
Sphyraena qenie
Starksia fulva
Starksia posthon
Stathmonotus culebrai
Stegastes acapulcoensis
Stegastes arcifrons
Stegastes beebei
Stegastes flavilatus
Stegastes leucorus
Stegastes rectifraenum
Stellifer chrysoleuca
Stellifer ephelis
Stellifer ericymba
Stellifer fuerthii
Stellifer illecebrosus
Stellifer mancorensis
Stellifer melanocheir
Stellifer oscitans
Stellifer pizarroensis
Stellifer zestocarus
Sternoptyx diaphana
Stethojulis bandanensis
Stomias atriventer
Stomias boa
Stomias colubrinus
Strongylura exilis
Strongylura fluviatilis
Strongylura scapularis
Sufflamen verres
Syacium latifrons
Syacium longidorsale
Syacium ovale
Symphurus atramentatus
Symphurus callopterus
Symphurus chabanaudi
Symphurus elongatus
Symphurus fasciolaris
Symphurus gorgonae
Symphurus leei
Symphurus melanurus
Symphurus melasmatotheca
Symphurus oligomerus
Symphurus prolatinaris
Symphurus undecimplerus
Symphurus varius
Symphurus williamsi
Synbranchus marmoratus
Synchiropus atrilabiatus
Syngnathus auliscus
Syngnathus macrobrachium
Synodus dermatogenys
Synodus evermanni
Synodus lacertinus
Synodus scituliceps
Synodus sechurae
Synodus variegatus
Taaningichthys paurolychnus
Thalassoma grammaticum
Thalassoma lucasanum
Thunnus albacares
Thunnus obesus
Tigrigobius nesiotes
Tomicodon abuelorum
Tomicodon bidens
Tomicodon eos
Tomicodon myersi
Tomicodon petersii
Tomicodon prodomus
Trachinotus kennedyi
Trachinotus paitensis
Trachinotus rhodopus
Trachinotus stilbe
Trachurus murphyi
Trichiurus lepturus
Trinectes fimbriatus
Trinectes fluviatilis
Trinectes fonsecensis
Trinectes opercularis
Trinectes xanthurus
Triphoturus mexicanus
Triphoturus oculeum
Tylosurus acus
Tylosurus crocodilus
Tylosurus pacificus
Umbrina analis
Umbrina bussingi
Umbrina dorsalis
Umbrina xanti
Uraspis helvola
Uropterygius macrocephalus
Uropterygius versutus
Xanthichthys mento
Xenichthys rupestris
Xenichthys xanti
Xenomugil thoburni
Xenomystax atrarius
Xiphias gladius
Zalieutes elater
Zanclus cornutus
